id,question,answer,category,passage
1,is france a country in the european union,True,geography,"France, officially the French Republic, is a country whose territory consists of metropolitan France in Western Europe and several overseas regions and territories."
2,can a felon own a gun after 10 years in texas,False,law,"Under Texas state law, a convicted felon may not possess a firearm until the fifth anniversary of the later of release from confinement or supervision."
3,is the amazon river the longest river in the world,False,geography,"The Amazon River is the largest river by discharge volume of water in the world, and by some definitions it is the longest, though the Nile is generally considered longer."
4,do sharks have bones in their body,False,biology,"Sharks are a group of elasmobranch fish characterized by a cartilaginous skeleton, five to seven gill slits, and pectoral fins that are not fused to the head."
5,is the moon a planet or a star,False,science,The Moon is an astronomical body orbiting Earth as its only natural satellite. It is not a planet or a star.
6,did the us drop the atomic bomb on hiroshima and nagasaki,True,history,"The United States detonated two nuclear weapons over the Japanese cities of Hiroshima and Nagasaki on August 6 and 9, 1945."
7,is python an object oriented programming language,True,science,"Python is an interpreted, high-level, general-purpose programming language. Python supports multiple programming paradigms, including procedural, object-oriented, and functional programming."
8,does the human body have more bacteria than human cells,True,biology,"The human body contains trillions of microorganisms, outnumbering human cells by a ratio of approximately 1.3:1 according to recent estimates."
9,is the great wall of china visible from space,False,geography,"The Great Wall of China is often cited as the only man-made structure visible from space, but this is a myth. Astronauts have confirmed it is not visible from low Earth orbit without aid."
10,can humans survive on mars without a spacesuit,False,science,"Mars has a very thin atmosphere composed mostly of carbon dioxide. The atmospheric pressure on Mars is less than 1% of Earth's, making it impossible for humans to survive unprotected."
11,is water a compound or a mixture,True,science,Water is a chemical compound with the molecular formula H2O. It is composed of two hydrogen atoms covalently bonded to one oxygen atom.
12,did beethoven compose the fifth symphony while deaf,True,pop_culture,"Ludwig van Beethoven began to lose his hearing in his late 20s. His Fifth Symphony was composed between 1804 and 1808, during his progressive hearing loss."
13,is the speed of light constant in all mediums,False,science,"Light travels at approximately 299,792,458 metres per second in a vacuum. When light travels through other materials such as glass or water, it slows down."
14,do all mammals give birth to live young,False,biology,"Most mammals give birth to live young. However, monotremes, including the platypus and echidna, lay eggs rather than giving birth to live offspring."
15,is the capital of australia sydney,False,geography,Canberra is the capital city of Australia. It is the largest inland city and was purpose-built as a compromise between rival cities Sydney and Melbourne.
16,can lightning strike the same place twice,True,science,"The idea that lightning never strikes the same place twice is a myth. Lightning frequently strikes the same location repeatedly, especially tall structures like the Empire State Building."
17,does the sun rise in the east,True,science,The Sun appears to rise in the east and set in the west each day due to Earth's rotation from west to east.
18,is gold a good conductor of electricity,True,science,"Gold is one of the best electrical conductors available. Its conductivity, combined with its corrosion resistance, makes it valuable in electronics and precision applications."
19,was the berlin wall built before the cuban missile crisis,True,history,"The Berlin Wall was constructed beginning on August 13, 1961. The Cuban Missile Crisis occurred in October 1962, so the Berlin Wall predates it by over a year."
20,do plants perform cellular respiration,True,biology,"Like all living organisms, plants perform cellular respiration. They break down sugars to release energy through respiration, occurring continuously in all plant cells."
21,is the pacific ocean larger than all land masses combined,True,geography,"The Pacific Ocean covers an area of approximately 165 million square kilometers, larger than all of Earth's landmasses combined."
22,can antibiotics treat viral infections,False,biology,"Antibiotics are medications that destroy or slow down the growth of bacteria. They have no effect on viruses, so taking antibiotics for a cold or flu will not help."
23,is the human eye able to see infrared light,False,science,"The human eye can detect light in the visible spectrum, roughly 380 to 740 nanometers. Infrared light is not visible to the naked human eye."
24,did alexander the great conquer china,False,history,Alexander the Great's campaign extended into northwestern India. He never reached China; his easternmost point was near the Beas River in modern-day Pakistan.
25,is dna found in both plant and animal cells,True,biology,"DNA is found in the cells of all living organisms, including both plants and animals. It is located primarily in the cell nucleus."
